language,BCP-47 code,ISO 639-3 code,ISO 639-1 code
Ghotuo,,aaa,
Alumu-Tesu,,aab,
Ari,,aac,
Amal,,aad,
Arbëreshë Albanian,aae_Latn,aae,
Aranadan,,aaf,
Ambrak,,aag,
Abu' Arapesh,,aah,
Arifama-Miniafia,,aai,
Ankave,,aak,
Afade,aal_Latn,aal,
Anambé,,aan,
Algerian Saharan Arabic,,aao,
Pará Arára,,aap,
Eastern Abnaki,,aaq,
Afar,,aar,aa
Aasáx,,aas,
Arvanitika Albanian,,aat,
Abau,,aau,
Solong,,aaw,
Mandobo Atas,,aax,
Amarasi,,aaz,
Abé,,aba,
Bankon,abb_Latn,abb,
Ambala Ayta,,abc,
Manide,,abd,
Western Abnaki,,abe,
Abai Sungai,,abf,
Abaga,,abg,
Tajiki Arabic,,abh,
Abidji,abi_Latn,abi,
Aka-Bea,,abj,
Abkhaz,abk_Cyrl,abk,ab
Lampung Nyo,,abl,
Abanyom,,abm,
Abua,abn_Latn,abn,
Abon,,abo,
"Ayta, Abellen",abp_Latn,abp,
Abaza,,abq,
Abron,abr_Latn,abr,
Ambonese Malay,abs_Latn,abs,
Ambulas,,abt,
Abure,,abu,
Baharna Arabic,,abv,
Pal,,abw,
Inabaknon,,abx,
Aneme Wake,,aby,
Abui,,abz,
Achagua,aca_Latn,aca,
Gikyode,acd_Latn,acd,
Aceh,ace_Latn,ace,
Lesser Antillean French Creole,acf_Latn,acf,
Acholi,ach_Latn,ach,
Aka-Cari,,aci,
Aka-Kora,,ack,
Akar-Bale,,acl,
Achang,acn_Latn,acn,
Eastern Acipa,,acp,
Ta'izzi-Adeni Arabic,,acq,
Achi,acr_Latn,acr,
Acroá,,acs,
Achterhoeks,,act,
Achuar-Shiwiar,acu_Latn,acu,
Achumawi,,acv,
Hijazi Arabic,acw_Arab,acw,
Omani Arabic,,acx,
Cypriot Arabic,,acy,
Acheron,,acz,
Adangme,,ada,
Lidzonka,,add,
Adele,ade_Latn,ade,
Dhofari Arabic,,adf,
Andegerebinha,,adg,
Jopadhola,adh_Latn,adh,
Adi,,adi,
Adioukrou,adj_Latn,adj,
Galo,,adl,
Adang,,adn,
Abu,,ado,
Adangbe,,adq,
Adonara,,adr,
Adnyamathanha,,adt,
Amundava,,adw,
"Tibetan, Amdo",adx_Tibt,adx,
Adyghe,ady_Cyrl,ady,
Adzera,,adz,
Areba,,aea,
Saidi Arabic,aec_Arab,aec,
Northeast Pashayi,,aee,
Haeke,,aek,
Ambele,,ael,
Arem,,aem,
Aer,,aeq,
Eastern Arrernte,,aer,
Alsea,,aes,
Akeu,aeu_Latn,aeu,
Ambakich,,aew,
Amele,,aey,
Aeka,,aez,
Gulf Arabic,afb_Arab,afb,
Andai,,afd,
Putukwam,,afe,
Chini,,afi,
Nanubae,,afk,
Defaka,,afn,
Eloyi,afo_Latn,afo,
Tapei,,afp,
Afrikaans,afr_Latn,afr,af
Afro-Seminole Creole,,afs,
Afitti,,aft,
Awutu,,afu,
Obokuitai,,afz,
Legbo,,agb,
Agatu,,agc,
Agarabi,agd_Latn,agd,
Angal,,age,
Arguni,,agf,
Angor,agg_Latn,agg,
Ngelima,,agh,
Argobba,,agj,
Isarog Agta,,agk,
Fembe,,agl,
Angaataha,,agm,
Agutaynen,agn_Latn,agn,
Tainae,,ago,
Aghem,,agq,
Awajún,agr_Latn,agr,
Esimbi,,ags,
Central Cagayan Agta,,agt,
Awakateko,agu_Latn,agu,
Remontado Dumagat,,agv,
Kahua,,agw,
Aghul,agx_Cyrl,agx,
Southern Alta,,agy,
Mt. Iriga Agta,,agz,
Ahanta,aha_Latn,aha,
Axamb,,ahb,
Qimant,,ahg,
Aghu,,ahh,
Tiagbamrin Aizi,,ahi,
Akha,ahk_Latn,ahk,
Igo,ahl_Latn,ahl,
Mobumrin Aizi,,ahm,
Àhàn,,ahn,
Ahom,,aho,
Aproumu Aizi,,ahp,
Ashe,ahs_Latn,ahs,
Ahtena,,aht,
Arosi,aia_Latn,aia,
Ainu (China),,aib,
Ainbai,,aic,
Alngith,,aid,
Amara,,aie,
Agi,,aif,
Antigua and Barbuda Creole English,,aig,
Ai-Cham,,aih,
Assyrian Neo-Aramaic,,aii,
Lishanid Noshan,,aij,
Ake,,aik,
Aimele,,ail,
Aimol,,aim,
Ainu (Japan),,ain,
Aiton,,aio,
Burumakok,,aip,
Aimaq,,aiq,
Airoran,,air,
Arikem,,ait,
Aari,,aiw,
Aighon,,aix,
Ali,,aiy,
Aja (South Sudan),,aja,
Aja (Benin),ajg_Latn,ajg,
Ajië,,aji,
Andajin,,ajn,
Judeo-Tunisian Arabic,,ajt,
Judeo-Moroccan Arabic,,aju,
Ajawa,,ajw,
Amri Karbi,,ajz,
Akan,aka_Latn,aka,ak
Batak Angkola,akb_Latn,akb,
Mpur,,akc,
Ukpet-Ehom,,akd,
Akawaio,ake_Latn,ake,
Akpa,,akf,
